x	y	class	color	
35159.39453125	26317.48046875		-65536
33820.921875	26321.2265625		-65536
34737.62890625	26326.25		-65536
35195.12890625	26320.15625		-65536
35230.87890625	26324.955078125		-65536
33941.20703125	26349.431640625		-65536
34143.6015625	26326.73828125		-65536
34401.0625	26339.357421875		-65536
34556.296875	26331.47265625		-65536
34903.00390625	26359.3359375		-65536
35064.21875	26335.095703125		-65536
34506.984375	26329.916015625		-65536
34862.9765625	26338.572265625		-65536
34936.47265625	26328.150390625		-65536
34978.14453125	26361.279296875		-65536
34107.64453125	26346.583984375		-65536
34268.8125	26355.515625		-65536
35282.14453125	26345.486328125		-65536
34801.65234375	26370.521484375		-65536
33705.15234375	26355.861328125		-65536
35210.94921875	26341.54296875		-65536
34345.2109375	26349.1796875		-65536
33893.6953125	26351.75390625		-65536
34436.90625	26346.220703125		-65536
34604.15234375	26361.9765625		-65536
34055.3671875	26362.2109375		-65536
35036.48046875	26343.14453125		-65536
35160.01953125	26348.91015625		-65536
33822.40625	26351.3203125		-65536
34025.4921875	26358.87109375		-65536
34511.01171875	26371.28515625		-65536
34736.15234375	26350.458984375		-65536
35327.57421875	26361.57421875		-65536
35017.22265625	26358.681640625		-65536
34414.75390625	26361.306640625		-65536
34837.984375	26366.388671875		-65536
35099.84765625	26402.71875		-65536
34935.4921875	26367.1953125		-65536
34166.5390625	26375.724609375		-65536
35177.72265625	26388.119140625		-65536
34132.984375	26373.576171875		-65536
34372.94921875	26381.353515625		-65536
35067.21484375	26372.81640625		-65536
34450.78515625	26379.12109375		-65536
33875.34765625	26381.85546875		-65536
33994.78125	26378.033203125		-65536
34561.43359375	26377.49609375		-65536
34688.94921875	26381.5234375		-65536
34401.48828125	26381.203125		-65536
34654.9140625	26377.84375		-65536
35230.1640625	26379.5078125		-65536
35276.625	26377.673828125		-65536
34328.6015625	26390.662109375		-65536
35032.08203125	26398.693359375		-65536
34020.1484375	26384.23046875		-65536
33830.453125	26401.388671875		-65536
34102.7578125	26399.259765625		-65536
34223.1796875	26401.494140625		-65536
